host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
N/A,N/A,0,1,1,"email, reviews",1,0,1,Entire home/apt,5,3.5,4,3,Real Bed,$175.00 ,$500.00 ,$100.00 ,1,$0.00 ,14,1125,0,0,0,0,1,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,92%,1,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1.5,1,1,Real Bed,$95.00 ,,$10.00 ,1,$0.00 ,1,1125,0,0,0,1,40,96,10,10,10,10,9,10,0,0,moderate,0,0,2
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$90.00 ,,,1,$0.00 ,1,1125,0,0,0,122,43,95,10,9,10,10,9,9,0,0,strict,0,0,1
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$95.00 ,,$15.00 ,1,$0.00 ,2,1125,8,16,37,107,33,99,10,10,10,10,10,10,0,0,moderate,0,0,1
60%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,2,Real Bed,$100.00 ,,,1,$100.00 ,1,30,21,51,81,356,11,90,9,8,10,9,9,9,0,0,flexible,0,0,1
100%,89%,1,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$67.00 ,,$40.00 ,1,$5.00 ,1,1125,0,5,35,310,20,96,10,9,10,10,9,10,0,0,flexible,0,0,2
95%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$55.00 ,,,1,$0.00 ,1,4,0,0,0,129,30,92,10,9,10,10,9,9,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,6,1,2,2,Real Bed,$200.00 ,$200.00 ,$85.00 ,4,$20.00 ,2,1125,21,48,78,353,2,100,10,10,10,10,9,10,0,1,strict,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$150.00 ,,,1,$0.00 ,1,1125,0,0,3,17,0,,,,,,,,0,1,flexible,0,0,1
100%,100%,1,3,3,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$49.00 ,,,1,$10.00 ,5,1125,0,20,50,325,10,98,9,9,10,10,9,10,0,0,strict,0,0,3
100%,71%,0,1,1,"email, phone, reviews",1,0,1,Private room,1,1.5,1,1,Real Bed,$75.00 ,,,1,$0.00 ,1,1125,27,57,87,362,17,96,10,10,10,10,10,10,0,0,flexible,0,0,1
100%,95%,0,2,2,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$110.00 ,,$25.00 ,2,$20.00 ,3,1125,7,16,25,300,55,87,9,9,10,10,9,9,0,0,strict,0,0,1
100%,100%,0,1,1,"email, phone, facebook, reviews",1,0,0,Private room,2,1,1,1,Real Bed,$115.00 ,$200.00 ,$35.00 ,1,$0.00 ,1,1125,19,46,76,351,0,,,,,,,,0,0,strict,0,0,1
98%,96%,0,5,5,"email, phone, reviews, jumio, kba",1,1,1,Entire home/apt,16,1,3,5,Real Bed,$125.00 ,$250.00 ,$50.00 ,1,$25.00 ,1,1125,26,51,81,351,24,91,10,10,10,10,9,9,0,0,strict,0,0,3
98%,96%,0,5,5,"email, phone, reviews, jumio, kba",1,1,1,Entire home/apt,16,2.5,3,7,Real Bed,$200.00 ,$250.00 ,$50.00 ,1,$25.00 ,1,1125,18,38,68,343,82,95,10,10,10,10,10,9,0,0,strict,0,0,3
100%,100%,1,2,2,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,2,1,1,Real Bed,$75.00 ,,$10.00 ,1,$15.00 ,1,1125,26,56,86,361,20,97,10,10,10,10,10,10,0,0,moderate,1,1,2
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$78.00 ,$500.00 ,$25.00 ,1,$0.00 ,3,1125,4,34,64,339,21,95,9,9,10,10,9,9,0,1,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,4,1,1,2,Real Bed,$50.00 ,,$10.00 ,1,$0.00 ,2,15,0,0,0,0,10,96,10,10,10,10,10,10,0,0,flexible,0,0,1
100%,71%,1,1,1,"email, phone, reviews, jumio",1,1,1,Private room,1,1,1,1,Real Bed,$60.00 ,,,1,$10.00 ,1,1125,20,50,80,355,143,98,10,10,10,10,9,10,0,0,flexible,0,0,1
100%,94%,1,3,3,"email, phone, reviews, kba",1,1,1,Private room,1,1.5,1,1,Real Bed,$45.00 ,,,1,$0.00 ,2,1125,6,6,6,254,2,100,9,10,10,9,7,9,0,0,flexible,0,0,3
77%,89%,0,2,2,"email, phone, reviews",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$145.00 ,$446.00 ,$56.00 ,3,$33.00 ,5,1125,4,8,38,306,26,92,10,10,10,10,9,9,0,0,strict,0,0,2
100%,83%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,2,1,1,Real Bed,$45.00 ,,,1,$10.00 ,2,1125,2,28,53,133,5,96,10,9,10,10,9,9,0,0,flexible,0,0,1
100%,92%,1,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1.5,1,1,Real Bed,$85.00 ,,$10.00 ,1,$0.00 ,1,1125,0,0,0,267,29,97,10,10,10,10,9,10,0,0,moderate,0,0,2
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$75.00 ,$200.00 ,$50.00 ,1,$25.00 ,3,1125,20,50,80,355,9,93,9,10,10,10,10,10,0,0,strict,0,0,1
100%,91%,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,2,1,1,Real Bed,$50.00 ,,,1,$10.00 ,2,1125,11,41,71,161,14,99,10,10,10,10,9,10,0,0,flexible,0,0,1
100%,94%,1,3,3,"email, phone, reviews, kba",1,1,1,Private room,1,2.5,1,1,Real Bed,$45.00 ,,,1,$0.00 ,2,1125,0,0,0,260,8,97,10,9,10,10,9,10,0,0,flexible,0,0,3
