host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,0,0,3,278,0,,,,,,,,0,0,strict,0,0,50
90%,76%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$75.00 ,,,1,$0.00 ,1,1125,11,11,27,116,23,83,8,9,9,9,9,8,0,0,flexible,0,0,1
100%,100%,1,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$200.00 ,,,2,$25.00 ,1,1125,0,0,2,122,11,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,2,2,Real Bed,$275.00 ,,,2,$25.00 ,2,5,0,0,5,5,7,100,10,10,10,10,10,9,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Private room,1,1,1,1,Real Bed,$120.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,83%,1,3,3,"email, phone, reviews, kba",1,1,1,Entire home/apt,5,2,3,4,Real Bed,$600.00 ,$500.00 ,,4,$0.00 ,3,1125,18,48,74,331,35,99,10,10,10,10,10,10,0,0,moderate,0,0,3
100%,100%,0,2,2,"email, phone, facebook, reviews, kba",1,1,0,Private room,2,1,1,1,Real Bed,$125.00 ,,$15.00 ,1,$0.00 ,1,1125,0,0,0,0,10,94,9,9,9,10,9,9,0,0,flexible,0,0,2
100%,100%,1,2,2,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,2,2,Real Bed,$265.00 ,$500.00 ,$55.00 ,3,$35.00 ,2,1125,12,18,34,306,42,96,10,10,10,10,10,10,0,1,moderate,0,0,1
100%,100%,1,6,6,"phone, facebook, reviews, jumio",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$160.00 ,$400.00 ,$200.00 ,2,$40.00 ,32,1125,0,0,0,252,15,89,9,10,9,9,10,9,0,0,strict,0,1,4
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$155.00 ,,$225.00 ,1,$0.00 ,7,1125,0,0,25,300,3,93,9,10,9,10,10,9,0,0,strict,0,0,50
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$137.00 ,,$225.00 ,1,$0.00 ,7,1125,0,5,35,310,0,,,,,,,,0,0,strict,0,0,50
100%,94%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$99.00 ,$400.00 ,$75.00 ,2,$25.00 ,2,1125,0,0,0,0,20,98,10,10,10,10,10,10,0,0,strict,0,0,4
100%,96%,0,5,5,"email, phone, reviews, kba",1,1,1,Private room,1,,1,1,Real Bed,$98.00 ,,$10.00 ,1,$0.00 ,1,365,11,28,54,329,184,91,9,8,10,9,10,9,0,0,moderate,0,0,5
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,0,21,51,326,0,,,,,,,,0,0,strict,0,0,50
80%,55%,0,1,1,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$125.00 ,$200.00 ,$45.00 ,1,$0.00 ,1,1125,0,0,3,3,8,97,10,9,10,10,10,10,0,0,flexible,0,0,1
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$235.00 ,$200.00 ,$70.00 ,2,$15.00 ,2,1125,9,16,46,321,66,98,10,10,10,10,10,10,0,0,strict,0,0,1
68%,73%,0,1,1,"email, phone, reviews, kba",1,1,0,Entire home/apt,4,1,1,1,Real Bed,$149.00 ,,$20.00 ,3,$20.00 ,1,3,4,19,49,324,13,92,10,8,10,10,10,9,0,0,strict,0,0,1
98%,66%,0,22,22,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$100.00 ,$500.00 ,$75.00 ,1,$0.00 ,2,1125,7,29,50,325,55,84,9,9,10,9,10,9,0,0,strict,0,0,19
98%,66%,0,22,22,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$164.00 ,$500.00 ,$100.00 ,1,$0.00 ,3,365,2,11,29,304,39,86,9,10,9,9,9,9,0,0,strict,0,0,19
100%,100%,0,2,2,"email, phone, reviews",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$185.00 ,$250.00 ,$80.00 ,2,$35.00 ,2,30,11,34,48,323,37,92,10,10,10,10,10,9,0,0,strict,0,0,2
100%,100%,1,2,2,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,3,1,1,2,Real Bed,$250.00 ,,$95.00 ,1,$0.00 ,3,1125,4,5,18,293,77,97,10,10,10,10,10,10,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$100.00 ,$95.00 ,$30.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$275.00 ,,,1,$0.00 ,1,1125,15,45,75,350,1,100,10,10,8,10,10,10,0,0,flexible,0,0,1
98%,66%,0,22,22,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$225.00 ,$500.00 ,$75.00 ,1,$0.00 ,2,1125,0,19,45,320,21,80,8,9,8,8,9,8,0,0,strict,0,0,19
90%,83%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,6,1,2,3,Real Bed,$250.00 ,,$50.00 ,4,$100.00 ,1,1125,1,1,1,1,4,95,10,10,10,10,10,9,0,0,strict,0,0,1
N/A,N/A,0,1,1,"phone, jumio",1,0,1,Private room,1,1.5,1,1,Real Bed,$50.00 ,$100.00 ,$15.00 ,2,$20.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,strict,0,0,1
100%,0%,0,1,1,"email, phone, reviews, kba",1,1,0,Entire home/apt,3,1,1,1,Real Bed,$115.00 ,$100.00 ,$35.00 ,1,$0.00 ,4,1125,0,0,0,4,6,100,10,10,10,10,10,10,0,0,strict,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,5,35,65,340,3,67,8,7,9,7,9,7,0,0,strict,0,0,50
100%,0%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,4,1,0,2,Real Bed,$170.00 ,$200.00 ,$40.00 ,2,$10.00 ,4,365,0,0,29,29,18,88,8,9,10,10,8,9,0,0,moderate,0,0,1
100%,100%,1,1,1,"email, phone, facebook, reviews, jumio",1,1,1,Shared room,2,1,1,1,Airbed,$125.00 ,,,1,$40.00 ,2,1125,0,21,48,138,59,97,10,9,10,10,10,10,0,1,moderate,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,2,2,1,Real Bed,$250.00 ,$95.00 ,,1,$0.00 ,2,1125,0,0,0,39,2,100,10,10,10,10,10,10,0,0,flexible,0,0,1
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,4,1,2,3,Real Bed,$229.00 ,$400.00 ,$95.00 ,2,$10.00 ,3,1125,16,27,52,79,9,73,7,7,8,8,9,7,0,1,strict,0,0,58
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$90.00 ,,$45.00 ,1,$0.00 ,2,1125,0,0,0,0,1,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,56%,1,2,2,"email, phone, amex, reviews, kba",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$200.00 ,$250.00 ,$40.00 ,1,$0.00 ,1,1125,30,60,90,365,11,100,10,10,10,10,10,10,0,0,strict,0,0,2
98%,66%,0,22,22,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$100.00 ,$500.00 ,$75.00 ,1,$0.00 ,2,1125,2,27,52,327,39,76,8,9,9,9,10,8,0,0,strict,0,0,19
100%,94%,1,6,6,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$306.00 ,$150.00 ,$90.00 ,4,$100.00 ,1,85,6,16,41,133,192,97,10,10,10,10,10,10,0,0,strict,1,1,6
80%,90%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$229.00 ,$250.00 ,$80.00 ,4,$100.00 ,3,60,5,21,26,26,5,95,10,10,10,10,10,10,0,0,strict,0,0,1
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$199.00 ,$400.00 ,$95.00 ,1,$10.00 ,3,1125,13,29,29,29,4,100,10,10,10,9,10,10,0,1,strict,0,0,58
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Shared room,1,1,1,1,Pull-out Sofa,$67.00 ,,,1,$0.00 ,2,5,6,21,46,69,14,93,9,9,9,9,10,9,0,0,flexible,0,0,1
100%,50%,0,3,3,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$120.00 ,,,1,$20.00 ,28,45,1,7,37,63,6,97,9,9,10,10,10,9,0,0,strict,0,0,3
100%,87%,1,12,12,"email, phone, reviews",1,0,1,Entire home/apt,3,1,0,1,Real Bed,$239.00 ,,,2,$25.00 ,3,1125,10,30,52,327,1,100,10,10,10,10,10,10,0,0,strict,0,0,12
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$130.00 ,$150.00 ,$50.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
90%,100%,1,1,1,"email, phone, facebook, reviews, kba",1,1,0,Entire home/apt,2,1,0,1,Real Bed,$197.00 ,,$80.00 ,1,$0.00 ,2,30,1,14,42,42,26,98,10,10,10,10,10,10,0,0,moderate,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1.5,1,1,Real Bed,$85.00 ,,$25.00 ,1,$0.00 ,2,1125,0,0,0,0,1,80,8,8,10,10,8,8,0,0,flexible,0,0,1
N/A,N/A,0,1,1,phone,1,0,1,Entire home/apt,3,1,1,1,Real Bed,$225.00 ,,$100.00 ,1,$0.00 ,3,1125,20,50,80,80,0,,,,,,,,0,0,flexible,0,0,1
100%,83%,1,3,3,"email, phone, reviews, kba",1,1,1,Entire home/apt,8,4.5,5,6,Real Bed,"$1,300.00 ","$1,000.00 ",,1,$0.00 ,5,30,14,44,69,333,2,100,10,10,10,10,10,10,0,0,strict,0,0,3
50%,50%,0,2,2,"email, phone, reviews, kba",1,1,0,Entire home/apt,4,2,2,2,Real Bed,$266.00 ,,$65.00 ,2,$10.00 ,3,1125,3,3,3,56,1,100,10,10,10,10,10,10,0,0,flexible,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$160.00 ,$160.00 ,$45.00 ,1,$0.00 ,2,21,0,0,0,0,6,95,9,10,10,9,10,9,0,0,flexible,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,0,21,51,326,0,,,,,,,,0,0,strict,0,0,50
80%,100%,0,1,1,"email, phone, linkedin, reviews",1,0,1,Entire home/apt,3,1,2,2,Real Bed,$280.00 ,,$80.00 ,1,$20.00 ,3,1125,24,45,70,345,8,93,10,10,10,10,9,9,0,0,moderate,0,0,1
N/A,N/A,0,1,1,"email, phone, kba",1,0,1,Private room,2,1,1,1,Real Bed,$60.00 ,,$20.00 ,1,$10.00 ,7,1125,0,0,0,0,0,,,,,,,,0,0,strict,0,0,1
100%,100%,0,5,5,"email, phone, facebook, reviews, manual_offline, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$225.00 ,$500.00 ,$80.00 ,3,$100.00 ,2,1125,0,0,0,264,31,93,10,9,9,10,9,9,0,0,strict,1,1,1
90%,82%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$170.00 ,,$25.00 ,1,$10.00 ,1,1125,0,1,14,185,50,97,10,10,10,10,10,9,0,0,flexible,0,0,1
100%,0%,1,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$168.00 ,"$1,000.00 ",$25.00 ,2,$65.00 ,1,1125,22,52,82,109,4,100,10,10,10,10,10,10,0,0,strict,0,0,1
100%,94%,1,6,6,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$183.00 ,$100.00 ,$70.00 ,2,$77.00 ,2,365,7,25,52,146,192,94,9,9,10,10,10,9,0,0,strict,1,1,6
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$137.00 ,,$225.00 ,1,$0.00 ,7,1125,0,5,35,310,0,,,,,,,,0,0,strict,0,0,50
100%,100%,0,2,2,"email, phone, reviews",1,0,1,Entire home/apt,6,1,2,2,Real Bed,$300.00 ,,,1,$0.00 ,4,1125,0,0,4,275,9,88,9,8,10,10,10,9,0,1,strict,0,0,1
100%,100%,0,1,1,"email, phone, reviews",1,0,0,Entire home/apt,3,1,0,1,Real Bed,$166.00 ,,,1,$0.00 ,2,1125,0,3,3,3,2,90,9,10,10,10,9,10,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$350.00 ,,$50.00 ,1,$0.00 ,2,10,5,11,28,289,33,98,10,10,10,10,10,9,0,0,strict,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,0,Entire home/apt,2,1,1,1,Real Bed,$149.00 ,$300.00 ,$40.00 ,1,$0.00 ,10,1125,0,0,0,27,0,,,,,,,,0,0,moderate,0,0,1
100%,96%,0,3,3,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$190.00 ,$250.00 ,$50.00 ,2,$30.00 ,2,1125,11,39,69,344,115,92,10,9,10,10,9,9,0,0,strict,0,0,2
100%,95%,1,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$180.00 ,,,1,$0.00 ,2,10,1,21,40,80,18,96,10,10,10,10,10,9,0,0,strict,0,0,1
100%,93%,1,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$99.00 ,$150.00 ,,1,$10.00 ,3,1125,6,10,33,122,78,97,10,10,10,10,10,10,0,0,moderate,1,1,1
100%,50%,0,3,3,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$110.00 ,,,1,$20.00 ,28,45,4,34,64,64,4,75,6,8,9,9,10,8,0,0,strict,0,0,3
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,0,Entire home/apt,3,1,1,1,Real Bed,$210.00 ,$375.00 ,$50.00 ,2,$25.00 ,4,100,5,16,46,321,6,100,10,10,10,10,9,10,0,0,strict,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$155.00 ,,$225.00 ,1,$0.00 ,7,1125,8,38,68,343,2,80,9,9,8,8,10,7,0,0,strict,0,0,50
100%,67%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$178.00 ,,$75.00 ,2,$0.00 ,1,4,2,3,5,5,9,100,10,10,10,10,10,10,0,0,strict,0,0,1
100%,91%,0,1,1,"phone, reviews",1,0,1,Entire home/apt,7,2,4,5,Real Bed,$600.00 ,$200.00 ,$125.00 ,4,$20.00 ,1,1125,0,0,0,0,6,83,8,9,8,9,10,9,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Entire home/apt,5,2,3,4,Real Bed,$550.00 ,"$1,000.00 ",$150.00 ,1,$0.00 ,2,3,0,0,0,0,0,,,,,,,,0,0,moderate,0,0,1
100%,97%,0,4,4,"email, phone, google, reviews, kba",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$170.00 ,,$50.00 ,2,$25.00 ,3,1125,9,23,40,154,4,100,10,10,10,10,10,10,0,0,strict,0,0,4
77%,33%,0,16,16,"email, phone, reviews",1,0,1,Entire home/apt,2,1,0,1,Real Bed,$129.00 ,,,1,$0.00 ,2,1125,26,56,86,361,5,96,10,10,10,10,10,10,0,0,strict,0,0,14
100%,97%,0,4,4,"email, phone, google, reviews, kba",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$160.00 ,,$50.00 ,2,$25.00 ,2,1125,4,14,27,141,5,100,10,10,10,10,10,10,0,0,strict,0,0,4
N/A,N/A,0,1,1,"email, phone, kba",1,0,0,Private room,2,1,1,1,Real Bed,$250.00 ,,,1,$0.00 ,2,1125,0,0,29,304,0,,,,,,,,0,0,moderate,0,0,1
100%,58%,0,4,4,"email, phone, facebook, reviews, kba",1,1,0,Entire home/apt,2,1,2,1,Real Bed,$149.00 ,$250.00 ,$100.00 ,2,$0.00 ,1,1125,0,0,0,0,8,90,9,9,10,10,10,9,0,0,strict,0,0,1
100%,91%,0,37,37,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$175.00 ,,$25.00 ,2,$25.00 ,3,1125,0,0,0,0,8,90,9,10,10,10,10,10,0,0,strict,0,0,20
92%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$150.00 ,$200.00 ,$25.00 ,1,$0.00 ,2,21,6,19,32,59,87,95,10,10,10,10,10,9,0,0,moderate,0,0,1
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1.5,1,1,Real Bed,$250.00 ,,$100.00 ,1,$0.00 ,2,1125,2,5,16,45,15,100,10,10,10,10,10,10,0,0,strict,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$100.00 ,,,1,$0.00 ,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,0,0,flexible,0,0,1
100%,75%,0,11,11,"email, phone, reviews, kba",1,1,1,Entire home/apt,7,1,2,3,Real Bed,$200.00 ,,$125.00 ,1,$0.00 ,1,1125,11,26,56,318,52,95,10,10,10,10,10,10,0,0,strict,0,0,6
90%,95%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$120.00 ,,$30.00 ,1,$0.00 ,3,1125,4,4,4,67,15,93,9,8,10,10,9,9,0,0,flexible,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,3,19,49,324,1,100,10,10,10,10,10,10,0,0,strict,0,0,50
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$152.00 ,,$225.00 ,1,$0.00 ,7,1125,0,0,15,290,1,100,10,10,10,10,,10,0,0,strict,0,0,50
100%,70%,0,1,1,"email, phone, facebook, reviews",1,0,1,Entire home/apt,2,1,1,2,Real Bed,$200.00 ,$200.00 ,$25.00 ,1,$0.00 ,1,1125,0,0,8,279,3,100,10,10,10,10,10,9,0,0,flexible,0,0,1
100%,100%,1,1,1,"email, phone, amex, reviews, kba",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$170.00 ,$200.00 ,$50.00 ,2,$20.00 ,2,1125,3,14,37,120,30,97,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,94%,1,6,6,"email, phone, reviews, jumio",1,1,1,Private room,2,1.5,1,1,Real Bed,$157.00 ,$150.00 ,$45.00 ,1,$0.00 ,2,90,6,29,59,149,96,98,10,10,10,10,10,9,0,0,strict,1,1,6
91%,94%,0,11,11,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$229.00 ,,,1,$0.00 ,2,1125,10,37,60,203,6,93,9,10,10,9,9,10,0,0,strict,0,0,11
100%,100%,0,4,4,"email, phone, reviews",1,0,1,Private room,3,1,1,2,Real Bed,$299.00 ,,,1,$0.00 ,1,1125,0,9,28,187,0,,,,,,,,0,0,strict,0,0,4
100%,91%,0,37,37,"email, phone, reviews",1,0,0,Entire home/apt,4,1,1,1,Real Bed,$165.00 ,,$25.00 ,2,$25.00 ,3,1125,3,7,7,150,0,,,,,,,,0,0,strict,0,0,20
100%,0%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$210.00 ,,,4,$50.00 ,1,1125,0,0,0,0,11,89,10,9,10,9,10,9,0,0,strict,0,0,1
100%,98%,0,5,5,"email, phone, reviews, kba",1,1,1,Private room,2,1.5,1,1,Real Bed,$110.00 ,$180.00 ,$50.00 ,1,$65.00 ,2,1125,17,47,77,352,15,96,10,10,10,10,10,10,0,1,moderate,0,0,5
N/A,N/A,0,1,1,"email, phone, kba",1,0,1,Entire home/apt,4,2,2,2,Real Bed,$400.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,54%,1,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,2.5,2,2,Real Bed,$575.00 ,$500.00 ,$125.00 ,1,$0.00 ,2,7,19,49,79,350,19,99,10,10,10,10,10,10,0,0,strict,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$147.00 ,,$225.00 ,1,$0.00 ,7,1125,0,0,0,103,0,,,,,,,,0,0,strict,0,0,50
90%,74%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$200.00 ,,$35.00 ,2,$50.00 ,2,1125,0,0,0,248,22,98,10,10,10,10,10,10,0,0,strict,0,0,1
100%,50%,0,3,3,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$115.00 ,,,1,$20.00 ,28,45,13,31,61,88,4,100,10,10,10,10,10,10,0,0,strict,0,0,3
100%,98%,0,5,5,"email, phone, reviews, kba",1,1,1,Private room,2,1.5,1,1,Real Bed,$110.00 ,$180.00 ,$50.00 ,1,$65.00 ,2,1125,4,18,22,295,19,96,10,10,10,10,10,10,0,1,moderate,0,0,5
100%,94%,1,6,6,"email, phone, reviews, jumio",1,1,1,Shared room,1,0,1,1,Airbed,$500.00 ,,,1,$0.00 ,1,30,30,60,90,365,26,94,9,9,9,10,10,9,0,0,strict,1,1,6
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,0,Entire home/apt,2,1,1,1,Real Bed,$250.00 ,,$25.00 ,1,$35.00 ,1,1125,30,60,90,365,21,77,8,7,9,9,10,8,0,0,strict,0,0,1
100%,94%,0,7,7,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$149.00 ,,$20.00 ,2,$49.00 ,3,1125,3,9,39,314,0,,,,,,,,0,1,moderate,0,0,7
100%,100%,1,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$200.00 ,$250.00 ,$100.00 ,2,$25.00 ,3,1125,3,24,47,309,38,99,10,10,10,10,10,10,0,0,strict,0,0,1
98%,66%,0,22,22,"email, phone, reviews, kba",1,1,1,Entire home/apt,8,2.5,3,4,Real Bed,$417.00 ,$500.00 ,$135.00 ,1,$0.00 ,4,1125,11,20,33,292,39,90,10,9,9,9,9,9,0,0,strict,0,0,19
100%,88%,1,3,3,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$600.00 ,$500.00 ,$80.00 ,1,$0.00 ,2,180,17,33,55,145,38,100,10,10,10,10,10,10,0,0,strict,0,0,2
100%,75%,0,11,11,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$175.00 ,,$125.00 ,1,$0.00 ,1,1125,0,0,16,291,31,95,10,10,10,10,10,10,0,0,strict,0,0,6
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$69.00 ,,$25.00 ,2,$35.00 ,1,1,1,1,1,1,17,94,9,10,10,10,10,10,0,0,moderate,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,4,34,64,339,0,,,,,,,,0,0,strict,0,0,50
N/A,N/A,0,1,1,phone,1,0,1,Private room,2,1,1,1,Real Bed,$180.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,,$225.00 ,1,$0.00 ,7,1125,5,35,65,340,2,90,9,10,10,10,9,8,0,0,strict,0,0,50
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$137.00 ,,$225.00 ,1,$0.00 ,7,1125,0,5,35,310,0,,,,,,,,0,0,strict,0,0,50
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,0,Entire home/apt,8,2.5,3,4,Real Bed,$800.00 ,"$1,000.00 ",$200.00 ,1,$0.00 ,5,1125,3,29,59,334,26,98,10,10,10,10,10,9,0,0,strict,0,0,1
100%,65%,0,1,1,"email, phone, reviews, jumio",1,1,0,Entire home/apt,2,1,1,1,Real Bed,$199.00 ,,$50.00 ,1,$0.00 ,1,1125,1,5,34,34,0,,,,,,,,0,0,strict,0,0,1
100%,75%,1,1,1,"email, phone, reviews, kba",1,1,0,Private room,4,1,1,2,Real Bed,$133.00 ,,,2,$10.00 ,2,1125,0,0,4,19,17,95,10,10,10,10,9,9,0,0,moderate,0,0,1
100%,98%,0,5,5,"email, phone, reviews, kba",1,1,1,Entire home/apt,5,1.5,3,3,Real Bed,$299.00 ,$400.00 ,$175.00 ,1,$70.00 ,4,1125,0,21,51,326,1,100,8,8,10,10,10,8,0,0,moderate,0,0,5
100%,100%,0,1,1,"email, phone, linkedin, reviews, jumio",1,1,1,Private room,1,1.5,1,1,Real Bed,$135.00 ,,$25.00 ,1,$0.00 ,1,5,12,42,51,51,2,100,10,10,9,10,10,10,0,0,strict,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$275.00 ,$500.00 ,$99.00 ,1,$0.00 ,2,1125,6,36,61,336,1,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,84%,0,3,3,"email, phone, facebook, reviews, kba",1,1,1,Private room,2,1,1,1,Futon,$99.00 ,"$1,500.00 ",$65.00 ,1,$0.00 ,2,1125,15,45,75,292,55,96,9,9,10,10,10,9,0,0,strict,0,0,2
